date_added,baths,area_marla,area_sqft,bedrooms,price
8/8/2018,0,20,5445.02,3,70000000
8/8/2018,3,20,5445.02,4,75000000
8/8/2018,4,20,5445.02,4,75000000
9/7/2018,2,4,1089,2,16500000
9/7/2018,5,10,2722.51,5,21000000
10/7/2018,5,4,1089,5,16000000
10/7/2018,3,4,1089,2,11500000
11/6/2018,10,11,2994.76,8,53000000
12/6/2018,7,20,5445.02,6,85000000
12/6/2018,8,20,5445.02,8,80000000
12/6/2018,0,14,3811.51,0,57500000
1/5/2019,5,8,2178.01,4,35000000
2/4/2019,5,4,1089,3,16800000
2/4/2019,5,5,1361.25,4,18500000
2/4/2019,5,4.9,1334.03,5,16000000
2/4/2019,6,14,3811.51,6,55000000
2/4/2019,4,8.5,2314.13,3,19000000
3/5/2019,5,4.4,1197.9,5,18000000
3/6/2019,6,4,1089,6,17000000
3/6/2019,5,110,29947.61,4,19000000
3/6/2019,5,4,1089,4,19000000
3/6/2019,0,4,1089,5,17500000
4/5/2019,5,5,1361.25,4,16000000
4/5/2019,5,5,1361.25,5,23000000
4/5/2019,5,4.4,1197.9,4,17500000
4/5/2019,5,4.4,1197.9,4,18000000
4/5/2019,3,4.4,1197.9,4,18400000
4/5/2019,5,4,1089,5,17500000
4/5/2019,4,4.4,1197.9,5,17000000
4/5/2019,5,5.6,1524.61,5,27000000
5/4/2019,2,4,1089,2,6500000
5/4/2019,7,5.6,1524.61,7,18000000
5/4/2019,6,4.4,1197.9,5,17000000
5/5/2019,4,4,1089,4,15000000
5/5/2019,4,4,1089,4,19000000
5/5/2019,4,4,1089,3,17500000
5/5/2019,4,4,1089,3,19000000
5/5/2019,2,4.4,1197.9,2,13500000
5/5/2019,6,5,1361.25,5,22500000
5/5/2019,4,4.4,1197.9,4,17000000
5/5/2019,4,4.4,1197.9,4,17500000
5/5/2019,4,4.4,1197.9,5,15500000
5/5/2019,3,4,1089,4,16500000
5/5/2019,2,4.9,1334.03,2,11000000
6/3/2019,5,4.4,1197.9,4,18500000
6/3/2019,5,4.4,1197.9,3,18200000
6/3/2019,9,24,6534.02,9,85000000
6/3/2019,4,5,1361.25,4,20000000
6/3/2019,4,4,1089,4,19000000
6/4/2019,9,24,6534.02,9,100000000
6/5/2019,3,4,1089,3,18000000
6/12/2019,3,4,1089,3,16500000
6/12/2019,0,3.3,898.43,0,6500000
6/12/2019,2,3.8,1034.55,2,5500000
6/12/2019,3,4,1089,3,17500000
6/13/2019,4,4,1089,4,17500000
6/13/2019,2,4,1089,2,9000000
6/13/2019,10,24,6534.02,9,97500000
6/13/2019,4,5.4,1470.16,4,17000000
6/13/2019,3,4.4,1197.9,3,16000000
6/13/2019,0,5,1361.25,0,25000000
6/13/2019,0,24,6534.02,0,100000000
6/13/2019,0,10,2722.51,0,48000000
6/13/2019,0,5,1361.25,0,24000000
6/13/2019,0,4,1089,0,21000000
6/13/2019,0,8,2178.01,0,35000000
6/13/2019,0,5,1361.25,0,27500000
6/13/2019,0,4,1089,0,18000000
6/13/2019,0,4,1089,0,17500000
6/13/2019,4,4.4,1197.9,3,16000000
6/13/2019,5,5,1361.25,5,27000000
6/13/2019,5,10,2722.51,5,48500000
6/13/2019,3,4,1089,3,18500000
6/19/2019,3,4,1089,3,16000000
6/19/2019,5,4,1089,4,17000000
6/19/2019,6,12,3267.01,6,55000000
6/19/2019,5,5,1361.25,5,27000000
6/19/2019,3,4,1089,3,18500000
6/19/2019,6,10,2722.51,6,50000000
6/19/2019,0,10,2722.51,0,48500000
6/19/2019,4,4,1089,4,15500000
6/19/2019,0,4,1089,0,16000000
6/19/2019,0,4,1089,0,19500000
6/19/2019,0,24,6534.02,0,100000000
6/19/2019,0,5,1361.25,0,22500000
6/19/2019,0,4,1089,0,19000000
6/19/2019,0,4,1089,0,18000000
6/20/2019,4,4,1089,0,18500000
6/20/2019,3,4,1089,3,17500000
6/25/2019,4,5,1361.25,4,24000000
6/26/2019,4,4,1089,3,18000000
6/27/2019,3,4,1089,3,19000000
6/27/2019,6,14.2,3865.96,6,49000000
6/27/2019,0,4,1089,0,17000000
6/27/2019,8,12,3267.01,7,55000000
6/27/2019,0,14.2,3865.96,3,5000000
6/27/2019,5,5,1361.25,4,21000000
6/28/2019,2,3.8,1034.55,2,7000000
6/28/2019,5,4,1089,5,19000000
6/28/2019,2,4.7,1279.58,2,6000000
6/28/2019,6,24,6534.02,6,100000000
6/28/2019,6,20,5445.02,6,70000000
6/28/2019,6,14,3811.51,6,55000000
6/28/2019,4,10,2722.51,4,40000000
6/28/2019,4,8,2178.01,4,32500000
6/28/2019,4,5,1361.25,4,21000000
6/28/2019,4,4,1089,4,20000000
6/28/2019,4,4,1089,4,16500000
6/29/2019,6,12,3267.01,6,47000000
6/30/2019,3,4.4,1197.9,4,14500000
7/1/2019,0,4,1089,0,15500000
7/1/2019,4,5,1361.25,4,24000000
7/1/2019,0,14,3811.51,0,55000000
7/1/2019,0,4,1089,0,17500000
7/1/2019,0,4,1089,0,15500000
7/1/2019,0,10,2722.51,0,48500000
7/1/2019,0,4,1089,0,17500000
7/1/2019,0,4,1089,0,15500000
7/1/2019,0,10,2722.51,0,48500000
7/2/2019,5,5.6,1524.61,5,24000000
7/2/2019,7,20,5445.02,7,85000000
7/2/2019,9,24,6534.02,9,105000000
7/2/2019,0,24,6534.02,0,105000000
7/2/2019,0,24,6534.02,0,90000000
7/2/2019,0,14,3811.51,0,60000000
7/2/2019,0,10,2722.51,0,45000000
7/2/2019,5,5,1361.25,5,20000000
7/2/2019,0,3.8,1034.55,0,7000000
7/2/2019,4,4,1089,4,19000000
7/3/2019,6,7,1905.76,6,32000000
7/3/2019,10,4.4,1197.9,2,14000000
7/3/2019,2,2,544.5,2,10500000
7/3/2019,0,10,2722.51,0,41000000
7/3/2019,0,10,2722.51,0,41000000
7/3/2019,0,10,2722.51,0,48000000
7/3/2019,0,10,2722.51,0,42000000
7/3/2019,0,10,2722.51,0,38000000
7/3/2019,0,8,2178.01,0,38000000
7/3/2019,0,8,2178.01,0,35000000
7/3/2019,0,5,1361.25,0,25000000
7/3/2019,0,5,1361.25,0,21000000
7/3/2019,0,5,1361.25,0,25000000
7/3/2019,0,4,1089,0,19000000
7/3/2019,0,4,1089,0,17500000
7/3/2019,0,4,1089,0,18500000
7/3/2019,0,4,1089,0,16000000
7/3/2019,0,4,1089,0,16000000
7/3/2019,0,4,1089,0,17500000
7/3/2019,0,4,1089,0,18500000
7/3/2019,0,4,1089,0,19000000
7/3/2019,0,5,1361.25,0,21000000
7/3/2019,0,5,1361.25,0,21000000
7/3/2019,0,5,1361.25,0,25000000
7/3/2019,0,10,2722.51,0,38000000
7/3/2019,0,10,2722.51,0,42000000
7/3/2019,0,8,2178.01,0,35000000
7/3/2019,0,10,2722.51,0,48000000
7/3/2019,0,10,2722.51,0,41000000
7/3/2019,0,14,3811.51,0,55000000
7/3/2019,0,10,2722.51,0,48000000
7/3/2019,0,10,2722.51,0,38000000
7/3/2019,0,8,2178.01,0,35000000
7/3/2019,0,5,1361.25,0,21000000
7/3/2019,0,5,1361.25,0,25000000
7/3/2019,0,4,1089,0,18500000
7/3/2019,0,4,1089,0,16000000
7/4/2019,7,11,2994.76,7,34000000
7/4/2019,9,10.9,2967.54,7,52500000
7/4/2019,3,4,1089,3,16000000
7/4/2019,0,4,1089,1,4500000
7/4/2019,6,11,2994.76,4,49500000
7/4/2019,4,8,2178.01,3,16000000
7/4/2019,0,24,6534.02,10,76500000
7/4/2019,0,4.4,1197.9,0,16500000
7/4/2019,4,7,1905.76,4,21500000
7/4/2019,0,4.4,1197.9,4,17000000
7/4/2019,0,4,1089,0,16000000
7/4/2019,0,4.4,1197.9,0,15000000
7/9/2019,3,4.4,1197.9,3,16800000
7/10/2019,0,14.2,3865.96,3,5000000
7/10/2019,6,5.6,1524.61,5,22500000
7/10/2019,0,4,1089,0,20000000
7/10/2019,0,3.8,1034.55,0,7000000
7/10/2019,0,4,1089,0,19000000
7/11/2019,0,4,1089,0,18500000
7/11/2019,0,4,1089,0,19000000
7/11/2019,0,4,1089,0,15000000
7/11/2019,0,5,1361.25,0,27000000
7/11/2019,0,5,1361.25,0,25000000
7/11/2019,0,10,2722.51,0,38000000
7/11/2019,0,5,1361.25,0,25000000
7/11/2019,0,5,1361.25,0,21000000
7/11/2019,0,8,2178.01,0,35000000
7/11/2019,0,10,2722.51,0,47000000
7/11/2019,0,10,2722.51,0,43000000
7/11/2019,0,14,3811.51,0,55000000
7/11/2019,0,4,1089,0,17500000
7/11/2019,0,4,1089,0,18500000
7/11/2019,0,4,1089,0,17500000
7/11/2019,0,4,1089,0,19000000
7/11/2019,0,4,1089,0,15000000
7/11/2019,0,5,1361.25,0,25000000
7/11/2019,0,5,1361.25,0,25000000
7/11/2019,0,5,1361.25,0,21000000
7/11/2019,0,5,1361.25,0,27000000
7/11/2019,0,8,2178.01,0,35000000
7/11/2019,0,10,2722.51,0,38000000
7/11/2019,0,10,2722.51,0,47000000
7/11/2019,0,10,2722.51,0,43000000
7/11/2019,0,14,3811.51,0,55000000
7/11/2019,5,4,1089,5,18000000
7/12/2019,0,4,1089,0,16500000
7/12/2019,0,5,1361.25,0,21000000
7/12/2019,0,8,2178.01,0,32500000
7/12/2019,0,10,2722.51,0,40000000
7/12/2019,0,4,1089,0,20000000
7/12/2019,0,14,3811.51,0,55000000
7/12/2019,0,20,5445.02,0,70000000
7/12/2019,0,24,6534.02,0,100000000
7/13/2019,0,4,1089,0,17000000
7/13/2019,0,4,1089,0,17500000
7/13/2019,0,4,1089,0,19000000
7/13/2019,0,5,1361.25,0,25000000
7/13/2019,0,5,1361.25,0,22000000
7/13/2019,0,5,1361.25,0,24000000
7/13/2019,0,5,1361.25,0,25000000
7/13/2019,3,4,1089,3,17000000
7/15/2019,3,5,1361.25,3,18000000
7/15/2019,0,14.2,3865.96,3,5000000
7/15/2019,0,14.2,3865.96,3,5000000
7/16/2019,0,2.1,571.73,0,5500000
7/16/2019,0,4,1089,0,16000000
7/16/2019,0,4.4,1197.9,0,15000000
7/16/2019,4,4.4,1197.9,4,16600000
7/17/2019,4,4,1089,4,15500000
7/17/2019,4,4,1089,4,18000000
7/17/2019,4,4,1089,4,15500000
7/17/2019,4,4,1089,4,17500000
7/17/2019,4,4,1089,4,18000000
7/17/2019,5,10,2722.51,5,48500000
7/17/2019,4,10,2722.51,4,48500000
7/17/2019,4,4,1089,4,17500000
7/17/2019,0,14,3811.51,0,55000000
7/17/2019,0,4,1089,0,17500000
7/17/2019,0,4,1089,0,17500000
7/17/2019,0,4,1089,0,18500000
7/17/2019,0,4,1089,0,18500000
7/17/2019,0,4,1089,0,15000000
7/17/2019,0,5,1361.25,0,25000000
7/17/2019,0,5,1361.25,0,25000000
7/17/2019,0,4,1089,0,19000000
7/17/2019,0,5,1361.25,0,21000000
7/17/2019,0,5,1361.25,0,27000000
7/17/2019,0,8,2178.01,0,35000000
7/17/2019,0,10,2722.51,0,38000000
7/17/2019,0,10,2722.51,0,47000000
7/17/2019,0,10,2722.51,0,43000000
7/17/2019,0,4,1089,0,17500000
7/17/2019,0,4,1089,0,18500000
7/17/2019,0,4,1089,0,18500000
7/17/2019,0,4,1089,0,19000000
7/17/2019,0,4,1089,0,15000000
7/17/2019,0,5,1361.25,0,25000000
7/17/2019,0,5,1361.25,0,25000000
7/17/2019,0,5,1361.25,0,21000000
7/17/2019,0,5,1361.25,0,27000000
7/17/2019,0,8,2178.01,0,35000000
7/17/2019,0,10,2722.51,0,38000000
7/17/2019,0,10,2722.51,0,47000000
7/17/2019,0,10,2722.51,0,43000000
7/17/2019,0,14,3811.51,0,55000000
7/17/2019,0,4,1089,0,18500000
7/17/2019,3,4.4,1197.9,3,17500000
7/18/2019,0,4,1089,5,18500000
7/18/2019,6,14.2,3865.96,6,100000
7/18/2019,10,24,6534.02,11,100000000
7/19/2019,3,5,1361.25,3,18000000
7/19/2019,10,24,6534.02,9,97500000
7/19/2019,0,4,1089,0,6500000
7/19/2019,2,4,1089,2,9000000
7/22/2019,7,10.9,2967.54,7,47500000
7/23/2019,0,5,1361.25,0,25000000
7/23/2019,0,5,1361.25,0,24000000
7/23/2019,0,4,1089,0,15000000
7/23/2019,0,14,3811.51,0,60000000
7/23/2019,0,24,6534.02,0,80000000
7/23/2019,0,20,5445.02,0,80000000
7/23/2019,0,8,2178.01,0,35000000
7/24/2019,0,14,3811.51,0,55000000
7/24/2019,5,5,1361.25,6,26500000
7/24/2019,11,10,2722.51,10,4
7/24/2019,5,8,2178.01,5,35000000
